seed,sample,ranking_score
1,0,0.8301416226291265
1,1,0.8367428724548822
1,2,0.8340925897230638
1,3,0.833302172180033
1,4,0.8201592793588149
2,0,0.7296456784520851
2,1,0.7272039210655655
2,2,0.7341733470354146
2,3,0.7360952434453947
2,4,0.7302901242622168
5,0,0.8329533822448766
5,1,0.8241076224944042
5,2,0.8281838893211152
5,3,0.8287370010554397
5,4,0.8247754882462293
10,0,0.8262684063236502
10,1,0.8229236138188651
10,2,0.8358671604872141
10,3,0.8342561528308954
10,4,0.8300226792947631
