seed,sample,ranking_score
1,0,0.8241493003135505
1,1,0.8302874381276064
1,2,0.8263538119725328
1,3,0.8311216300328551
1,4,0.8269369768272831
13,0,0.822952974450306
13,1,0.828828157156426
13,2,0.8239042468696969
13,3,0.8232203782353741
13,4,0.832465470605446
17,0,0.8242958387810301
17,1,0.826666699104753
17,2,0.829211773313675
17,3,0.8203260157737836
17,4,0.824938483161296
21,0,0.8273097484682614
21,1,0.8309862795024997
21,2,0.8285474289325506
21,3,0.8216456352342347
21,4,0.8254321646463685
42,0,0.8262493057394534
42,1,0.8271656683560958
42,2,0.8289704386478456
42,3,0.8297284632285478
42,4,0.8292602468209646
133,0,0.827565041629325
133,1,0.8196787311388535
133,2,0.8260320908011043
133,3,0.8272972524045784
133,4,0.8204627021267418
177,0,0.8287439328104615
177,1,0.8194945618035393
177,2,0.8267065834314304
177,3,0.8258727562804541
177,4,0.829516016855448
213,0,0.8297290746203243
213,1,0.8321644176144705
213,2,0.8347043182324547
213,3,0.8299834029361565
213,4,0.8330768926409188
315,0,0.8278413780007577
315,1,0.8271282281457287
315,2,0.8322407358419591
315,3,0.8311900051437752
315,4,0.8212251855480764
1001,0,0.8353465759917509
1001,1,0.8417764127991233
1001,2,0.8388235919777189
1001,3,0.8375515735015165
1001,4,0.8282875763960439
