seed,sample,ranking_score
1,0,0.8143174145595556
1,1,0.824763629351372
1,2,0.8203075912522497
1,3,0.8192981181736418
1,4,0.818338620893828
13,0,0.8099686389738446
13,1,0.8158624183459403
13,2,0.8153686074615633
13,3,0.8152376487965688
13,4,0.8198751464522457
17,0,0.8134812269886619
17,1,0.8230629875011968
17,2,0.8167702155220281
17,3,0.8146802061542034
17,4,0.8096770835411482
21,0,0.8144402692931151
21,1,0.8159403405218649
21,2,0.8163445439368439
21,3,0.8070222621517285
21,4,0.82038212191634
42,0,0.8182062008905033
42,1,0.8256435259152693
42,2,0.8264099513345231
42,3,0.8250067234291343
42,4,0.8263037056361969
133,0,0.8133751515040306
133,1,0.8046227709271502
133,2,0.8138574893970086
133,3,0.8109562292390575
133,4,0.810977457272932
177,0,0.7614597552698412
177,1,0.744405303747057
177,2,0.7546546081398354
177,3,0.7565759598851657
177,4,0.7580917566067795
213,0,0.8282407682655865
213,1,0.8265221739162537
213,2,0.8286457476709275
213,3,0.8277066464761887
213,4,0.8248927267464218
315,0,0.8106927057834794
315,1,0.8124998440038257
315,2,0.8194971524663267
315,3,0.8202623697832476
315,4,0.8072663312217647
1001,0,0.8365830181355483
1001,1,0.8419283584348483
1001,2,0.838544577420755
1001,3,0.8368602974538892
1001,4,0.826372086575122
