seed,sample,ranking_score
1,0,0.801072802621891
1,1,0.8125625371163663
1,2,0.8065101199129314
1,3,0.8066000536754135
1,4,0.8036358759831551
13,0,0.8086805642836753
13,1,0.8128992681148227
13,2,0.8087806914304132
13,3,0.8046908638201747
13,4,0.8157924302801377
17,0,0.8033249605084096
17,1,0.8091538733507745
17,2,0.8117400665975703
17,3,0.7987317659858978
17,4,0.8046909348218767
21,0,0.8176054645189968
21,1,0.819708387661459
21,2,0.8200135683385052
21,3,0.8133235250950691
21,4,0.8167951659388089
42,0,0.815053288057195
42,1,0.8153637915858293
42,2,0.8153608133072857
42,3,0.8178359912166286
42,4,0.8169731288280181
133,0,0.807551096875963
133,1,0.7995339338629508
133,2,0.8106692391444779
133,3,0.8087183240639003
133,4,0.8011337813518451
177,0,0.8219256404797298
177,1,0.8074455950152827
177,2,0.8162953427200735
177,3,0.8200015566094261
177,4,0.8202216218167963
213,0,0.8089921483686903
213,1,0.8119303782203047
213,2,0.8122589871704565
213,3,0.8112895925022492
213,4,0.8103771718864273
315,0,0.8154189164640928
315,1,0.8190741467184814
315,2,0.82237441323208
315,3,0.8166472196677931
315,4,0.8127735707409591
1001,0,0.8242478100854133
1001,1,0.8320035751047233
1001,2,0.8261429257899869
1001,3,0.8292572678704629
1001,4,0.8231832978924597
