seed,sample,ranking_score
1,0,0.834813074719678
1,1,0.8379020966669554
1,2,0.8378724507158427
1,3,0.8354414309264621
1,4,0.8356053788037947
13,0,0.8286453976574444
13,1,0.8380525967988425
13,2,0.8321025861673342
13,3,0.8359092960641897
13,4,0.8343244501745645
17,0,0.8322673045018482
17,1,0.8343353539207344
17,2,0.8369337773313943
17,3,0.8282065179828866
17,4,0.8304276195639703
21,0,0.8386390415513388
21,1,0.8397811858531457
21,2,0.8399222951350444
21,3,0.8310147344622021
21,4,0.8367309635560888
42,0,0.835448626493404
42,1,0.8353512002640402
42,2,0.8365084633769402
42,3,0.8360214481046361
42,4,0.8385864832084529
133,0,0.8355236192737077
133,1,0.8289060022682372
133,2,0.8351038735813646
133,3,0.838294612917904
133,4,0.830614945225694
177,0,0.8430426186196023
177,1,0.8294910501615462
177,2,0.836433695940503
177,3,0.8396307981456327
177,4,0.8393260313858689
213,0,0.8362859468831131
213,1,0.8371999221306761
213,2,0.8387232385746797
213,3,0.8399715540769971
213,4,0.837363690323832
315,0,0.8372173162160256
315,1,0.8376659598086817
315,2,0.8391813765563384
315,3,0.8393534805683419
315,4,0.8311815212466044
1001,0,0.841587783807466
1001,1,0.8450348050343919
1001,2,0.8441826895717522
1001,3,0.843877493063699
1001,4,0.8340844165383232
