seed,sample,ranking_score
1,0,0.7832534297221585
1,1,0.7828778111734015
1,2,0.7866459127850572
1,3,0.7796638502755953
1,4,0.7822710834125468
13,0,0.830310298385039
13,1,0.8345603284617297
13,2,0.8293765226849885
13,3,0.8360681808314376
13,4,0.833433444975549
17,0,0.781074108594741
17,1,0.7786767872021315
17,2,0.7829886533962207
17,3,0.7720282506792314
17,4,0.7809336721637002
21,0,0.7897632147219832
21,1,0.7905967837339624
21,2,0.796084868066565
21,3,0.7815895293813578
21,4,0.7901271810997048
42,0,0.7839124785508476
42,1,0.7840468959636755
42,2,0.7786975795589782
42,3,0.7925780723484986
42,4,0.7802407520256579
133,0,0.7879921562092645
133,1,0.7855705454459476
133,2,0.7926498824039038
133,3,0.7905362885237692
133,4,0.7863958639853996
177,0,0.794791408606688
177,1,0.7809465205982581
177,2,0.7790454280559812
177,3,0.7922182520781651
177,4,0.7936394704523926
213,0,0.7831520323539317
213,1,0.7812135267287577
213,2,0.7855718023335051
213,3,0.7842473424336991
213,4,0.7881192208987914
315,0,0.7819014190066129
315,1,0.7949700414175142
315,2,0.7885809592417448
315,3,0.7934807421122027
315,4,0.7834831941408484
1001,0,0.7945639223039751
1001,1,0.8076000840787568
1001,2,0.8080826111153091
1001,3,0.806421786837917
1001,4,0.8025128987779346
