seed,sample,ranking_score
1,0,0.7962360237713342
1,1,0.7915381183240107
1,2,0.8047002458128575
1,3,0.7983787997306027
1,4,0.7975197645255906
13,0,0.7967418334054427
13,1,0.7956738378855504
13,2,0.7843691606378442
13,3,0.7917213835991747
13,4,0.7960190344809221
17,0,0.7967737218170506
17,1,0.801620374900152
17,2,0.8052116052572248
17,3,0.795689787501789
17,4,0.8106577944582299
21,0,0.7905320532315822
21,1,0.7952315984476308
21,2,0.8024252079836852
21,3,0.7921160198886996
21,4,0.798913663482452
42,0,0.7891824537207106
42,1,0.7913938400287954
42,2,0.7815342403761475
42,3,0.8066870885951617
42,4,0.7973568490068407
133,0,0.8078090228929251
133,1,0.7970816950294991
133,2,0.8048827437348909
133,3,0.8039186045340126
133,4,0.8060292922667363
177,0,0.7966564135200784
177,1,0.7787774197321393
177,2,0.784818345849264
177,3,0.7935581922071836
177,4,0.7980211105422068
213,0,0.7957116203944545
213,1,0.7906097145088188
213,2,0.7876422607381304
213,3,0.7915338900967217
213,4,0.7979916990873465
315,0,0.792281850756923
315,1,0.794535810354771
315,2,0.7914087560699602
315,3,0.7896690956813324
315,4,0.7874439380598092
1001,0,0.7979950155218634
1001,1,0.8161105071284328
1001,2,0.8129310948684564
1001,3,0.8120974130699302
1001,4,0.8100253019474385
