seed,sample,ranking_score
1,0,0.8301775255932062
1,1,0.8365298715958434
1,2,0.8334827904821926
1,3,0.8328407612106101
1,4,0.8202879435636727
2,0,0.7299536852190232
2,1,0.7268578802552133
2,2,0.733981755522426
2,3,0.735846501685423
2,4,0.7307796396185715
5,0,0.8329306649430381
5,1,0.8240419000619515
5,2,0.8281103627219354
5,3,0.8290502498447578
5,4,0.8252564993831287
10,0,0.8261162650721875
10,1,0.8228483746465018
10,2,0.8358688629548349
10,3,0.8324030623679024
10,4,0.8281448382544917
