tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd
mel8_mrp3,seed-315_sample-1_seed-133_sample-1,1.0927314758300781,0.10750161,0.10753185,0.16416635,0.7395863,0.27736628,0.21470109,0.23696671,0.2151424,0.63062584,0.3395563,1.7087638,1.8763952,1.8046818,1.7094902,1.815896,0.010153432,0.10001338,0.12309793,0.4400439,0.010852515
mel8_mrp3,seed-315_sample-1_seed-1001_sample-1,1.0967141389846802,0.13061659,0.13070087,0.14494467,0.848057,0.554761,0.14030014,0.15055522,0.14050324,0.74284077,0.5487228,1.7238759,1.8186707,1.8277961,1.7246253,1.8377128,0.011996226,0.15613447,0.18162104,0.46812895,0.012228883
mel8_mrp3,seed-315_sample-1_seed-21_sample-1,1.2340493202209473,0.23070036,0.23084827,0.26309484,1.6061045,0.5042216,0.1634904,0.1954116,0.16355953,1.1200203,0.4351414,1.8351669,2.0683782,2.0631678,1.837315,2.118738,0.008646853,0.09445799,0.122925244,0.38757935,0.009678567
mel8_mrp3,seed-315_sample-1_seed-315_sample-3,1.3535828590393066,0.30940634,0.3095154,0.34372985,2.290222,0.5346778,0.222466,0.30711815,0.2226979,2.1904116,0.487622,1.9177455,2.4919724,2.3153405,1.9192369,2.2395291,0.009652667,0.21975352,0.13106687,0.4899933,0.010112539
mel8_mrp3,seed-315_sample-1_seed-21_sample-2,1.1575603485107422,0.3618129,0.36194563,0.47177294,1.0339118,0.44764742,0.14283463,0.40585268,0.14286688,1.1084774,0.288484,1.761515,1.9412224,1.9220455,1.7624966,1.8699856,0.0058512315,0.2577148,0.10014808,0.5451426,0.007074381
mel8_mrp3,seed-315_sample-1_seed-17_sample-4,1.1659014225006104,0.2100438,0.2101383,0.26007655,0.7766216,0.27514577,0.2059186,0.24467012,0.20603923,0.93316305,0.2843237,1.8205173,1.9159501,1.9453791,1.8212706,1.8896235,0.010237617,0.17682299,0.19348973,0.50132203,0.027931891
mel8_mrp3,seed-315_sample-1_seed-1001_sample-0,1.2027959823608398,0.29763502,0.29773092,0.41749975,0.93896806,0.4373021,0.20836619,0.38798192,0.2085035,0.81007355,0.3571195,1.8100779,2.0425248,1.9487122,1.8117526,1.971121,0.010408525,0.16706158,0.06481159,0.33284518,0.0116751045
mel8_mrp3,seed-315_sample-1_seed-177_sample-2,1.081984281539917,0.34503818,0.34513974,0.3797594,0.91011655,0.47390252,0.21546265,0.2777449,0.2155543,0.7117629,0.40440372,1.6527785,1.8773029,1.8263747,1.653565,1.7473159,0.007933632,0.23840259,0.1243086,0.37444237,0.0088533675
mel8_mrp3,seed-315_sample-1_seed-21_sample-0,1.1461681127548218,0.29491696,0.29508016,0.31964344,0.6856403,0.56433743,0.22088614,0.2411996,0.22100389,0.80241686,0.5322494,1.7808024,1.9231945,1.9892085,1.7815187,1.8359306,0.008541433,0.13184442,0.19986661,0.23074223,0.010289905
mel8_mrp3,seed-315_sample-1_seed-1_sample-2,1.2846784591674805,0.2179824,0.21804644,0.29283914,1.379187,0.4293599,0.22322555,0.32847682,0.22328871,1.056189,0.42592028,1.870004,2.1954777,2.1236746,1.871656,2.167606,0.006448271,0.13796486,0.16360074,0.40029702,0.0077396785
