,tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd,peptide,Ensemble Pairwise RMSD (Å)
0,row_6333,seed-13_sample-2_seed-315_sample-3,4.548709392547607,0.30132848,0.3013616,0.344139,11.06584,11.823029,0.27080166,0.32752886,0.27144992,10.113223,11.709731,2.4344637,8.395103,8.394446,2.4379954,3.57619,0.027180502,1.7156605,1.7744813,1.4538002,0.030306015,M5K,0.30306015
1,row_6333,seed-13_sample-2_seed-42_sample-2,3.5472586154937744,0.26817986,0.26822653,0.33153054,8.871931,11.143143,0.20519264,0.33029696,0.20574848,8.823079,11.413285,2.2855794,7.46602,7.402658,2.2890186,3.6501787,0.02431621,3.549273,3.8229942,1.4192156,0.028179182,M5K,0.28179182
2,row_6333,seed-13_sample-2_seed-315_sample-2,4.4706711769104,0.21470621,0.21473251,0.2702076,11.341253,11.793159,0.16069779,0.24044365,0.1610004,10.569754,11.645392,2.1620574,8.271966,8.325576,2.16462,3.0347126,0.021792885,1.7129618,1.7813864,1.198284,0.02654546,M5K,0.2654546
3,row_6333,seed-13_sample-2_seed-21_sample-4,3.3053829669952397,0.41503945,0.41513973,0.5128554,8.161805,11.147526,0.18812479,0.39874732,0.1883678,8.488574,12.028352,2.323413,6.877516,6.6384497,2.3277843,3.9045372,0.026226154,4.511149,4.519535,1.6712762,0.02906491,M5K,0.2906491
4,row_6333,seed-13_sample-2_seed-177_sample-4,3.4103918075561523,0.22864446,0.22875449,0.26489413,8.707679,10.953865,0.13396528,0.20056652,0.13428201,8.680717,11.235034,1.8841757,7.1481743,7.0626993,1.8873827,3.2129636,0.033941694,3.668037,3.640712,1.3661811,0.035472408,M5K,0.35472408
5,row_6333,seed-13_sample-2_seed-13_sample-4,0.8281636238098145,0.19091256,0.19093381,0.23756367,2.063129,0.25416392,0.22008878,0.2724767,0.2202672,2.0964499,0.31215915,0.9240068,1.4939737,1.4386853,0.92558944,1.4514977,0.017475346,0.20334503,0.16730891,0.6437255,0.022907952,M5K,0.22907951999999998
6,row_6333,seed-13_sample-2_seed-21_sample-2,3.431668996810913,0.35134336,0.3514039,0.4840637,9.265129,11.077006,0.25058526,0.37998027,0.25102887,9.2685795,11.435076,1.7366707,7.1388454,6.9482923,1.7399497,3.157966,0.026017241,3.602554,3.7612975,1.1294647,0.028518904,M5K,0.28518904
7,row_6333,seed-13_sample-2_seed-133_sample-4,3.531836986541748,0.3565833,0.3566525,0.3743815,9.172285,11.08204,0.06894675,0.13829091,0.06907114,8.979874,11.18217,2.062816,7.4707856,7.405042,2.0657544,3.4464436,0.025837416,3.4711711,3.5393014,1.2888358,0.028537327,M5K,0.28537327
8,row_6333,seed-13_sample-2_seed-1_sample-0,3.0415968894958496,0.31480378,0.3149632,0.42791897,7.409531,10.844517,0.15338606,0.3263545,0.15362467,7.1657085,11.007346,2.108754,6.326351,6.0990973,2.1133747,3.7366734,0.027359247,3.4361644,3.5895283,1.7227789,0.02971287,M5K,0.29712869999999997
9,row_6333,seed-13_sample-2_seed-133_sample-3,3.3012783527374268,0.78990966,0.78995186,0.8817895,7.695572,11.221168,0.18003014,0.4233072,0.18021163,7.8641653,11.895047,2.5033164,6.702419,6.4550824,2.5081842,4.098525,0.0235997,3.9342828,4.2327685,1.9750661,0.027882708,M5K,0.27882708
10,row_6333,seed-13_sample-2_seed-42_sample-1,3.297081708908081,0.44939235,0.44942802,0.52577066,7.9675417,11.171688,0.13840656,0.3449938,0.13867599,7.9642835,11.718755,2.2255714,6.7717166,6.602074,2.2294888,3.7438269,0.025010087,4.0659547,4.2524967,1.7749285,0.028207146,M5K,0.28207146
11,row_6333,seed-13_sample-2_seed-213_sample-3,0.7643769383430481,0.19947544,0.19948299,0.2280408,1.9975611,0.2957262,0.09954376,0.1667572,0.09986184,1.8340099,0.24589545,0.8564681,1.4743729,1.3587646,0.85800785,1.4637386,0.018691247,0.1213791,0.1260071,0.5097276,0.02424642,M5K,0.24246420000000002
12,row_6333,seed-13_sample-2_seed-177_sample-2,4.392804145812988,0.12342326,0.12346646,0.12583056,11.156414,11.751543,0.2230461,0.22409974,0.22320232,10.2380085,11.694391,2.3712158,8.256435,8.258298,2.3757699,3.5106566,0.026947541,1.7232486,1.7155362,1.5244828,0.029340053,M5K,0.29340053
13,row_6333,seed-13_sample-2_seed-213_sample-0,0.995013952255249,0.12263823,0.12265369,0.13664116,2.586505,0.15641351,0.17824522,0.19130304,0.17873813,2.6415699,0.19677025,1.0970193,1.8101212,1.8394846,1.0989556,1.7908889,0.01914771,0.0830269,0.13206689,0.79496133,0.024085848,M5K,0.24085847999999999
14,row_6333,seed-13_sample-2_seed-315_sample-0,3.3268070220947266,0.677435,0.6774802,0.776433,8.718903,11.182701,0.14435574,0.40083086,0.14440809,8.986237,11.814873,2.1533961,6.915596,6.620277,2.1573203,3.6801896,0.025718207,4.1990776,4.396872,1.5539569,0.029582644,M5K,0.29582644
15,row_6333,seed-13_sample-2_seed-21_sample-1,3.1248345375061035,0.3259634,0.32603025,0.42389372,7.7064056,10.662074,0.12858395,0.36651912,0.12877981,7.8305097,11.087983,2.3921041,6.5847406,6.3809543,2.397144,3.7778149,0.022660553,3.850927,4.021526,1.7549165,0.028684298,M5K,0.28684298
16,row_6333,seed-13_sample-2_seed-17_sample-1,0.574916660785675,0.55120033,0.5513572,0.68490875,1.2136899,0.7251556,0.20138445,0.5668279,0.20148782,1.0575364,0.42262277,0.5318716,1.0187519,0.8320009,0.5326752,0.8483933,0.018316152,0.31246004,0.27903464,0.37519085,0.02218592,M5K,0.2218592
17,row_6333,seed-13_sample-2_seed-17_sample-3,0.6739334464073181,0.24497001,0.24505976,0.3155279,1.4330776,0.33177954,0.14054658,0.30593845,0.14061348,1.5667977,0.18451717,0.8235086,1.2771686,1.1647013,0.8248209,1.2348065,0.0176863,0.24109685,0.10774771,0.3746869,0.02241273,M5K,0.22412729999999997
18,row_6333,seed-13_sample-2_seed-21_sample-3,3.754948616027832,0.1459641,0.14608166,0.16890563,9.851206,10.883383,0.25571528,0.26814255,0.25587422,9.747497,10.889903,1.3606712,7.5023317,7.468652,1.3621852,2.0404575,0.019623265,3.2946162,3.3408787,0.820397,0.02638268,M5K,0.2638268
