,n_structures,auc_best_mean,auc_last_mean,auc_random_mean,auc_mean_mean,auc_best_SD,auc_last_SD,auc_random_SD,auc_mean_SD,auc_best_SEM,auc_last_SEM,auc_random_SEM,auc_mean_SEM
0,1,0.7714403547539576,0.7714403547539576,0.7714403547539576,0.7714403547539576,0.01711576799188071,0.01711576799188071,0.01711576799188071,0.01711576799188071,0.005412481075734937,0.005412481075734937,0.005412481075734937,0.005412481075734937
1,2,0.7656676045704351,0.7662634140625046,0.7667337003236593,0.7714263968004278,0.014709016662655061,0.014717384716225815,0.014351633968385999,0.015952578469976622,0.004651399479535855,0.004654045690422443,0.004538385148514071,0.005044648251769013
2,3,0.7672035717001757,0.7739135605743588,0.7707685831181632,0.7753432659613197,0.01397487819656403,0.014399298296822797,0.014730960682429428,0.016142865748230515,0.00441924451245686,0.0045534579326143325,0.004658338787886533,0.005104822372672666
3,4,0.7680642369494157,0.77156694580693,0.7689397049963194,0.7769799507805735,0.01408526075170928,0.016031439133607363,0.017754549082045382,0.01634670195192465,0.0044541505412776725,0.005069586183255568,0.005614481392851512,0.005169281040000215
4,5,0.7673888856890214,0.7679599589190362,0.7683645146957644,0.7766682866598563,0.013958784720506783,0.015919345148140394,0.014497705667391477,0.01609273525824525,0.004414155308475831,0.005034138952647424,0.004584577075568857,0.005088969719815296
5,6,0.7701805619320299,0.7680877880206448,0.7695427967256148,0.7817914502903967,0.014703407337938009,0.01498436725549938,0.014333798378483675,0.015866420244886936,0.004649625655311718,0.004738472982382426,0.004532745039763667,0.005017402628724926
6,7,0.7708607493016122,0.7689414285705569,0.7672085135872726,0.7845635093554411,0.015883641287440298,0.014900656625932745,0.015169141296086333,0.015700485932929543,0.005022848400540057,0.0047120013570027056,0.004796903664455143,0.004964929591949099
7,8,0.7703865434380704,0.766689910921245,0.7665577149950004,0.7857303401487599,0.015323807609520382,0.015306437419318262,0.017199424202734695,0.01571720566779963,0.0048458134472304515,0.004840320510787547,0.005438935492406726,0.00497021683635546
8,9,0.7704605908061158,0.7683257895426557,0.7689182408105708,0.7863582631877805,0.015326598065508424,0.015060382860006324,0.017257095349667014,0.01590018518127654,0.004846695866893718,0.004762511227178076,0.005457172710364762,0.005028080039129111
9,10,0.7696847552593838,0.7686906966840722,0.7684548562587153,0.78660458030575,0.015316252194569153,0.015596560959959458,0.016533346422313334,0.01596557399535003,0.004843424215239095,0.004932065629913408,0.0052283032039106255,0.005048757797726061
