,name,ptm,iptm,chain_ptm_A,chain_pair_iptm_A_B,chain_pair_iptm_A_M,chain_pair_iptm_A_P,chain_ptm_B,chain_pair_iptm_B_M,chain_pair_iptm_B_P,chain_ptm_M,chain_pair_iptm_M_P,chain_ptm_P,avg_plddt,avg_pae,avg_pae_A,min_pae_A,max_pae_A,std_pae_A,avg_plddt_A,min_plddt_A,max_plddt_A,std_plddt_A,avg_pae_interaction_A_B,min_pae_interaction_A_B,max_pae_interaction_A_B,std_pae_interaction_A_B,avg_contact_probs_A_B,max_contact_probs_A_B,avg_pae_interaction_A_M,min_pae_interaction_A_M,max_pae_interaction_A_M,std_pae_interaction_A_M,avg_contact_probs_A_M,max_contact_probs_A_M,avg_pae_interaction_A_P,min_pae_interaction_A_P,max_pae_interaction_A_P,std_pae_interaction_A_P,avg_contact_probs_A_P,max_contact_probs_A_P,avg_pae_B,min_pae_B,max_pae_B,std_pae_B,avg_plddt_B,min_plddt_B,max_plddt_B,std_plddt_B,avg_pae_interaction_B_M,min_pae_interaction_B_M,max_pae_interaction_B_M,std_pae_interaction_B_M,avg_contact_probs_B_M,max_contact_probs_B_M,avg_pae_interaction_B_P,min_pae_interaction_B_P,max_pae_interaction_B_P,std_pae_interaction_B_P,avg_contact_probs_B_P,max_contact_probs_B_P,avg_pae_M,min_pae_M,max_pae_M,std_pae_M,avg_plddt_M,min_plddt_M,max_plddt_M,std_plddt_M,avg_pae_interaction_M_P,min_pae_interaction_M_P,max_pae_interaction_M_P,std_pae_interaction_M_P,avg_contact_probs_M_P,max_contact_probs_M_P,avg_pae_P,min_pae_P,max_pae_P,std_pae_P,avg_plddt_P,min_plddt_P,max_plddt_P,std_plddt_P,avg_pae_interaction_cdr3a_M,min_pae_interaction_cdr3a_M,max_pae_interaction_cdr3a_M,std_pae_interaction_cdr3a_M,avg_pae_interaction_cdr3b_M,min_pae_interaction_cdr3b_M,max_pae_interaction_cdr3b_M,std_pae_interaction_cdr3b_M,avg_contact_probs_cdr3a_M,max_contact_probs_cdr3a_M,avg_contact_probs_cdr3b_M,max_contact_probs_cdr3b_M,avg_pae_interaction_cdr3a_P,min_pae_interaction_cdr3a_P,max_pae_interaction_cdr3a_P,std_pae_interaction_cdr3a_P,avg_pae_interaction_cdr3b_P,min_pae_interaction_cdr3b_P,max_pae_interaction_cdr3b_P,std_pae_interaction_cdr3b_P,avg_contact_probs_cdr3a_P,max_contact_probs_cdr3a_P,avg_contact_probs_cdr3b_P,max_contact_probs_cdr3b_P
0,MEL5_BST2-10,0.728,0.706,0.672,0.744,0.828,0.638,0.71,0.8240000000000001,0.642,0.02,0.9200000000000002,0.654,80.90071892467395,15.806577878538539,12.585380645688376,0.8,31.68,8.970065532586265,79.25313267698077,20.119999999999997,97.602,17.95743080525903,12.879444827996668,1.4,31.7,8.499335747373149,0.0026293298416855135,1.0,19.156190264368398,1.6,31.7,9.504370330008346,0.00026871556386796745,0.9800000000000001,13.483749077490774,1.8,31.439999999999998,7.841781667499598,0.004151291512915129,0.97,11.158027471383976,0.8,31.7,8.825245728883113,84.22277722772277,22.676,97.446,15.290115138618045,18.63617817057004,1.8800000000000001,31.7,9.413698575405231,0.0001715422006186478,0.96,12.550625806451613,2.52,31.419999999999998,7.328072289502043,0.006003225806451613,0.9399999999999998,15.282150647401014,0.8,31.7,11.638363578907754,79.20163743500866,11.368,98.176,23.277366466889045,12.529260273972602,1.3199999999999998,31.7,10.422775280662242,0.011906849315068491,1.0,2.6670000000000007,0.8,5.38,1.2592752812206744,85.94908333333333,63.476,95.732,7.20835522942335,13.13586301369863,2.06,31.7,10.1777667685371,13.472303196347031,1.8800000000000001,31.7,10.13223255520268,0.002393524283935243,0.97,0.002524200913242009,0.96,4.418909090909091,2.32,9.16,1.3578229810421596,4.177466666666667,2.52,10.66,1.2822317479014584,0.04109090909090909,0.9099999999999999,0.11866666666666667,0.9399999999999998
1,MEL5_BST2-9,0.692,0.654,0.674,0.742,0.712,0.514,0.708,0.6719999999999999,0.492,0.02,0.9259999999999999,0.646,80.73390141220356,16.6206909679011,12.29677891096254,0.8,31.68,8.88898644835859,79.74623722456633,18.736,97.578,18.51529615377175,12.708429710748721,1.4,31.7,8.426709023032206,0.0026576598024044755,1.0,20.774272557246118,3.04,31.7,8.10088066163206,0.0002538543193651115,0.8699999999999999,15.64028700287003,2.96,31.440000000000005,7.241930285358853,0.0037556375563755637,0.8299999999999998,11.104071592091572,0.8,31.7,8.75910874945802,84.04516996699671,21.348,97.786,16.15953326149983,20.495223243482105,3.94,31.7,7.872355393611107,0.0001824127264692886,0.76,14.899326164874552,4.26,31.46,6.703085373659675,0.0045913978494623656,0.85,15.48759872396322,0.8,31.7,11.491809870097283,78.63124575389948,11.094,98.296,23.768196980228844,12.514569254185693,1.28,31.7,10.52429663841233,0.011844748858447489,1.0,2.4113580246913577,0.8,5.220000000000001,1.1614391013414507,83.020375,54.581999999999994,94.494,8.249250383393603,15.625813200498133,4.12,31.7,8.955159937098603,16.799373515981735,3.94,31.7,9.039563563919481,0.0021469489414694897,0.8699999999999999,0.00223013698630137,0.7,6.83020202020202,4.220000000000001,13.02,1.771751756763417,7.265037037037037,4.26,17.1,2.2100835183442307,0.04646464646464646,0.8299999999999998,0.084,0.85
2,MEL5_DSE,0.73,0.706,0.682,0.752,0.808,0.62,0.714,0.798,0.632,0.02,0.9,0.65,81.00901156146179,15.825167539083699,12.385881183535082,0.8,31.68,8.960727352231562,79.6228120018753,19.35,97.53999999999999,18.06022471779152,12.711798952505655,1.4,31.7,8.519478523342165,0.0026739673848351383,1.0,19.219289187686396,1.6199999999999999,31.7,9.387925144102814,0.0002878228782287823,0.9800000000000001,13.633077490774909,1.92,31.46,7.676369188511662,0.004236162361623616,0.95,11.078535067637876,0.8,31.7,8.83033972013444,84.46844306930693,22.428,97.91,15.365037889951404,18.743698453380468,2.52,31.7,9.301141792502978,0.00012903225806451613,0.9,12.726448387096776,2.7,31.4,7.1382354375731865,0.005145161290322581,0.9099999999999999,15.475356427097017,0.8,31.7,11.595317551188954,79.02561386481803,11.032,98.126,23.57954461151634,12.936095890410959,1.4,31.7,10.328416642085946,0.012073972602739727,1.0,2.9108000000000005,0.8,6.0200000000000005,1.4053592723116213,84.54159036144578,63.488,95.66600000000001,7.4859304310932915,12.994109589041097,1.6199999999999999,31.7,10.219793923300438,14.154180821917809,2.52,31.7,10.008067583124847,0.0023611457036114567,0.9800000000000001,0.002009132420091324,0.9,4.382000000000001,1.92,8.84,1.466601611593113,4.7716666666666665,2.7,10.040000000000001,1.3753891736911013,0.041545454545454545,0.93,0.10153333333333334,0.9099999999999999
3,MEL5_ERBB2,0.722,0.7,0.67,0.742,0.8019999999999999,0.614,0.712,0.8459999999999999,0.658,0.022,0.93,0.666,81.00790467314606,15.663587406558008,12.639861113002274,0.8,31.7,8.933711625402015,78.52566713548993,19.332,97.26599999999999,18.10736440029803,12.835036067134865,1.46,31.7,8.445057454208543,0.002634329246518272,1.0,19.218794015063438,2.16,31.7,9.342027027322183,0.00022918667542839817,0.96,13.182428044280442,2.68,31.48,7.699096272629096,0.0038191881918819186,0.9200000000000002,10.981990842872008,0.8,31.7,8.735054534411425,84.51811716171618,22.59,97.488,15.258041188249283,18.322920547945206,1.6800000000000002,31.7,9.505197321212762,0.0002215642951833849,0.97,11.869990322580644,1.78,31.46,7.26647204738605,0.005841935483870969,0.9800000000000001,14.975379095515105,0.8,31.7,11.753402323421664,79.6913164644714,10.842,98.226,23.535028343188817,11.838126027397262,1.38,31.7,10.481408694518187,0.01341917808219178,1.0,2.3346,0.8,5.8,1.1817940325365253,89.47478260869566,73.33,94.926,5.252442487666553,13.13480199252802,2.16,31.7,10.03814267196146,12.905956164383563,1.6800000000000002,31.7,10.20168010423871,0.002722291407222914,0.96,0.0025187214611872145,0.97,4.368363636363637,2.88,8.26,1.1058524030149766,3.769933333333333,1.78,7.5200000000000005,1.11694916895646,0.038090909090909085,0.9200000000000002,0.11679999999999999,0.9800000000000001
4,MEL5_IMP1,0.716,0.6859999999999999,0.68,0.75,0.794,0.584,0.714,0.776,0.576,0.02,0.93,0.648,81.52126507788577,16.060938140088588,12.231313026783404,0.8,31.7,8.901841694094228,80.29102109704641,18.746000000000002,97.6,18.36672129352476,12.568062730627307,1.4,31.7,8.40917197868225,0.002637067015831448,1.0,19.884215639690645,2.36,31.7,8.869738998814006,0.00025729161401203055,0.93,13.813077490774907,2.44,31.52,7.528254250361371,0.004162361623616236,0.89,10.911859521331944,0.8,31.7,8.664407316601409,85.05682673267327,20.956,97.978,15.602260946552269,19.37366098099867,2.46,31.7,8.774746955294766,0.0001921343349536014,0.9200000000000002,12.913019354838706,2.96,31.439999999999998,6.937608717850679,0.005732258064516129,0.9099999999999999,15.44317733158191,0.8,31.7,11.579620056085485,79.32555355285962,10.5,98.388,23.857242164842727,12.266093150684933,1.3,31.7,10.560014577775672,0.01308767123287671,0.99,2.3286000000000002,0.8,5.08,1.0852758234083426,87.15223188405797,64.768,95.452,6.952174367405677,14.28628891656289,2.96,31.7,9.656606604272797,14.637998173515982,2.46,31.7,9.711736261801935,0.0023088418430884184,0.89,0.002599086757990867,0.9200000000000002,5.042363636363636,3.0,9.120000000000001,1.3130023584314343,4.814466666666666,2.96,9.34,1.2946872773741125,0.040999999999999995,0.89,0.11139999999999999,0.9099999999999999
5,MEL5_IMP2,0.718,0.694,0.678,0.748,0.818,0.608,0.712,0.788,0.6,0.02,0.93,0.658,81.67356321533138,15.969274982055637,12.442289729170353,0.8,31.7,8.975910677134001,80.1807604313174,19.548,97.634,18.31545200003583,12.78844530413046,1.42,31.7,8.490683849358268,0.002639923818593025,1.0,19.589119243795178,2.14,31.7,9.062654874985515,0.000251933478238892,0.93,13.399354243542437,2.18,31.48,7.675682535135175,0.003933579335793358,0.9,11.113627055150884,0.8,31.7,8.789845929984425,84.86661798679867,22.228,97.876,15.575055680497664,19.122614670790984,2.2,31.7,8.904616131976557,0.00018842244807777288,0.95,12.448545161290323,2.56,31.4,7.08438405943482,0.005761290322580645,0.9399999999999998,15.195396960030024,0.8,31.7,11.67397572341925,79.90753552859618,10.776,98.486,23.822154618105024,11.943945205479451,1.38,31.7,10.5629285118653,0.013273972602739725,0.99,2.2076000000000002,0.8,5.06,1.0736856711653662,89.16208333333334,72.42,95.978,5.1050645115917686,13.537945205479451,2.52,31.7,9.789474403794026,14.57287488584475,2.2,31.7,9.709505384339243,0.0024806973848069736,0.93,0.0024694063926940634,0.95,4.491090909090909,2.62,9.040000000000001,1.249623516696546,4.719466666666667,2.56,10.379999999999999,1.4408741236137153,0.03827272727272727,0.9,0.11213333333333333,0.9399999999999998
6,MEL5_MRP3,0.71,0.6859999999999999,0.674,0.746,0.698,0.582,0.714,0.708,0.578,0.02,0.79,0.648,80.36126207906295,16.121539363806654,12.5121237455917,0.8,31.7,8.932324016444898,79.06249413970933,20.07,97.02000000000001,18.015398879824808,12.774345911201047,1.42,31.7,8.447125297419,0.0026563504344720864,1.0,19.851627660112218,2.78,31.7,8.778463818144846,0.00024728302077541323,0.9099999999999999,16.460981549815497,4.04,31.619999999999997,7.109336641608422,0.003701107011070111,0.8400000000000001,11.020182310093654,0.8,31.7,8.724959923550799,84.21744719471947,22.684,97.52000000000001,15.332899609817066,19.26332028281043,3.12,31.7,8.704363654229814,0.00021758727353071144,0.89,15.49033870967742,3.8,31.5,6.824590538449067,0.005696774193548388,0.9099999999999999,15.211944154625632,0.8,31.7,11.658448048614341,78.31740797227037,11.803999999999998,96.92,22.658039430515878,15.19798082191781,3.5,31.7,9.338614229537479,0.013210958904109591,0.9200000000000002,4.1518,0.8,11.34,2.5679691895781542,70.77532394366196,52.288,80.024,6.638919389666819,14.422679950186799,3.5,31.7,9.413371890576531,14.742186301369864,3.12,31.7,9.460356205630823,0.0025130759651307596,0.89,0.0026337899543379,0.89,7.830454545454545,4.279999999999999,16.44,2.4791624085787847,7.243599999999999,3.8,15.66,2.2516973298050247,0.035272727272727275,0.8,0.11040000000000001,0.9099999999999999
7,MEL5_MUC-16TSS,0.704,0.674,0.676,0.746,0.6980000000000001,0.54,0.716,0.7,0.544,0.02,0.834,0.652,80.83283306709265,16.177864511300573,12.297441483639929,0.8,31.7,8.898612452477398,79.4040534458509,22.19,97.00399999999999,17.698952200261623,12.579525532674682,1.4,31.7,8.403371089162544,0.002603142483037733,1.0,20.168778446140625,3.44,31.7,8.421136141051523,0.00025051812161957235,0.9099999999999999,15.940103321033211,4.16,31.48,7.012480968241057,0.004132841328413284,0.8400000000000001,10.850712799167534,0.8,31.7,8.662383413457917,84.44660148514852,25.044,97.588,15.064185059061046,19.542375784357052,2.84,31.7,8.411581804554146,0.0002012372956252762,0.93,15.006364516129034,4.14,31.419999999999998,6.709512970654764,0.005535483870967742,0.86,15.232161531244136,0.8,31.7,11.636880650937195,78.9643951473137,10.748000000000001,97.786,22.792697608856354,14.309490410958905,1.8199999999999998,31.7,9.788448293330404,0.012854794520547944,0.96,4.031000000000001,0.8,9.16,2.2648091416582856,76.2364857142857,46.248000000000005,89.788,8.965174249449912,14.612523038605229,3.44,31.7,9.186833695832174,14.856902283105024,2.84,31.7,9.270419815903718,0.0024557907845579076,0.89,0.0027269406392694067,0.93,7.313090909090908,4.6,14.7,2.0153853748913724,7.0036000000000005,4.14,16.82,2.1886325563433515,0.043454545454545454,0.8400000000000001,0.10973333333333332,0.86
8,MEL5_Melan A,0.734,0.714,0.672,0.748,0.8539999999999999,0.648,0.712,0.86,0.664,0.03,0.9399999999999998,0.66,81.98940916355886,15.628790352934999,12.625348783377133,0.8,31.7,8.95581216744593,79.88075011720582,19.338,97.878,18.38620109868301,12.854533865016071,1.48,31.7,8.474591285004836,0.002657421735507678,1.0,19.010734064600918,1.7,31.7,9.546131537939395,0.0002581003892230703,0.9800000000000001,12.360276752767527,1.8,31.48,7.969319332556578,0.00351660516605166,0.96,11.076442247658688,0.8,31.7,8.76701096378137,85.31671452145216,22.094,97.952,15.43154704953696,18.3216049491825,1.6800000000000002,31.7,9.539503594927108,0.00021042863455589923,0.97,11.21394193548387,1.6800000000000002,31.4,7.388223174837625,0.006290322580645162,0.9800000000000001,15.048294389191218,0.8,31.7,11.727664572230262,80.49274662045062,10.67,98.52000000000001,23.781636637694138,11.456520547945207,1.3,31.7,10.642522772296255,0.013476712328767123,0.99,1.9753999999999998,0.8,5.48,1.0203734550267023,93.35687878787878,77.694,96.812,4.145343049504757,12.47634122042341,1.78,31.7,10.266370507047208,12.886931506849313,1.6800000000000002,31.7,10.209245114629372,0.00263013698630137,0.97,0.0027324200913242005,0.97,3.4452727272727275,2.08,7.92,1.095322688761166,3.363066666666667,1.6800000000000002,8.64,1.0889726700075655,0.029636363636363634,0.95,0.12560000000000002,0.9800000000000001
9,MEL8_BST2-10,0.718,0.69,0.6839999999999999,0.746,0.8299999999999998,0.61,0.73,0.756,0.5820000000000001,0.02,0.932,0.65,79.75154443853113,15.909031004359168,12.29833286923591,0.8,31.68,8.85999381415515,78.14484877126654,17.381999999999998,97.344,18.808892759090586,12.591046087454103,1.4,31.7,8.545967922264024,0.002611582661771017,1.0,19.518597628296874,1.7600000000000002,31.7,9.093874894220985,0.00019167859333469635,0.96,13.596906716417909,1.98,31.440000000000005,7.479287964022385,0.002738805970149254,0.9200000000000002,10.82265308413886,0.8,31.660000000000004,8.905737682035427,83.5047237003684,20.759999999999998,97.454,16.650395490766574,19.172505842706464,3.0,31.7,8.93807662567403,0.00013961223685938115,0.9099999999999999,12.847511182108628,3.22,31.6,7.106380952919298,0.004418530351437699,0.76,15.324562356914992,0.8,31.7,11.586247260185422,77.63453934142115,10.674,97.712,23.678177117832757,12.240761643835617,1.3,31.7,10.46702268491803,0.012134246575342466,1.0,2.4006,0.8,4.8,1.1034019861054236,84.45030555555556,64.72,94.31,5.911478133489424,15.214558219178082,2.78,31.7,9.614670315968155,16.1871198630137,3.0,31.7,9.641909576542075,0.00016780821917808218,0.32,0.002061643835616438,0.9099999999999999,6.0287500000000005,3.04,13.12,2.0115297227082563,6.377062499999999,3.4,17.2,2.3795620168362683,0.013000000000000001,0.68,0.07949999999999999,0.76
