,complex_id,af3_output_directory,ptm,iptm,chain_ptm_A,chain_pair_iptm_A_B,chain_pair_iptm_A_M,chain_pair_iptm_A_P,chain_ptm_B,chain_pair_iptm_B_M,chain_pair_iptm_B_P,chain_ptm_M,chain_pair_iptm_M_P,chain_ptm_P,avg_plddt,avg_pae,avg_pae_A,min_pae_A,max_pae_A,avg_plddt_A,min_plddt_A,max_plddt_A,avg_pae_interaction_A_B,min_pae_interaction_A_B,max_pae_interaction_A_B,avg_contact_probs_A_B,min_contact_probs_A_B,max_contact_probs_A_B,avg_pae_interaction_A_M,min_pae_interaction_A_M,max_pae_interaction_A_M,avg_contact_probs_A_M,min_contact_probs_A_M,max_contact_probs_A_M,avg_pae_interaction_A_P,min_pae_interaction_A_P,max_pae_interaction_A_P,avg_contact_probs_A_P,min_contact_probs_A_P,max_contact_probs_A_P,avg_pae_B,min_pae_B,max_pae_B,avg_plddt_B,min_plddt_B,max_plddt_B,avg_pae_interaction_B_M,min_pae_interaction_B_M,max_pae_interaction_B_M,avg_contact_probs_B_M,min_contact_probs_B_M,max_contact_probs_B_M,avg_pae_interaction_B_P,min_pae_interaction_B_P,max_pae_interaction_B_P,avg_contact_probs_B_P,min_contact_probs_B_P,max_contact_probs_B_P,avg_pae_M,min_pae_M,max_pae_M,avg_plddt_M,min_plddt_M,max_plddt_M,avg_pae_interaction_M_P,min_pae_interaction_M_P,max_pae_interaction_M_P,avg_contact_probs_M_P,min_contact_probs_M_P,max_contact_probs_M_P,avg_pae_P,min_pae_P,max_pae_P,avg_plddt_P,min_plddt_P,max_plddt_P,avg_pae_interaction_cdr3a_M,min_pae_interaction_cdr3a_M,max_pae_interaction_cdr3a_M,std_pae_interaction_cdr3a_M,avg_pae_interaction_cdr3b_M,min_pae_interaction_cdr3b_M,max_pae_interaction_cdr3b_M,std_pae_interaction_cdr3b_M,avg_contact_probs_cdr3a_M,max_contact_probs_cdr3a_M,avg_contact_probs_cdr3b_M,max_contact_probs_cdr3b_M,avg_pae_interaction_cdr3a_P,min_pae_interaction_cdr3a_P,max_pae_interaction_cdr3a_P,std_pae_interaction_cdr3a_P,avg_pae_interaction_cdr3b_P,min_pae_interaction_cdr3b_P,max_pae_interaction_cdr3b_P,std_pae_interaction_cdr3b_P,avg_contact_probs_cdr3a_P,max_contact_probs_cdr3a_P,avg_contact_probs_cdr3b_P,max_contact_probs_cdr3b_P
0,MEL5_BST2-10,examples/af3_fold_outputs/mel5_bst2-10,0.74,0.72,0.68,0.75,0.66,0.86,0.72,0.67,0.85,0.66,0.93,0.02,81.09355602874633,15.351379308835629,12.098071921678626,0.8,31.7,79.68777777777777,21.09,97.65,12.433230567789547,1.4,31.7,0.002582549696464706,0.0,1.0,18.58573472173078,1.5,31.7,0.00026952433907900727,0.0,0.99,12.524594095940959,1.7,31.5,0.0041476014760147605,0.0,0.98,10.798872008324663,0.8,31.7,84.50017739273927,22.04,97.4,18.07460671674768,1.6,31.7,0.0001724259832081308,0.0,0.97,11.651048387096775,2.1,31.4,0.006193548387096775,0.0,0.97,15.166677425408144,0.8,31.7,79.06892894280763,11.7,98.22,11.897383561643835,1.3,31.7,0.011802739726027398,0.0,1.0,2.3000000000000003,0.8,4.9,89.17583333333333,67.06,96.3,12.574445828144459,1.8,31.7,10.320265499760463,12.745625570776253,1.6,31.7,10.343903705954904,0.002460772104607721,0.97,0.0026136986301369867,0.97,3.785909090909091,2.1,7.5,1.04778189563785,3.519666666666667,2.1,8.6,1.0874342381138375,0.04209090909090909,0.92,0.12233333333333335,0.97
1,MEL5_BST2-9,examples/af3_fold_outputs/mel5_bst2-9,0.74,0.71,0.69,0.77,0.66,0.86,0.73,0.66,0.85,0.64,0.94,0.03,81.63238875566213,15.566678325703792,12.083208289647473,0.8,31.7,80.13444913267699,19.17,97.93,12.205402928222831,1.3,31.7,0.00265718366861088,0.0,1.0,19.099143709245315,1.6,31.7,0.00029712379315573976,0.0,0.97,12.594177941779417,1.6,31.6,0.004063140631406314,0.0,0.95,10.425504682622268,0.8,31.7,85.23667079207921,22.31,97.82,18.50007998232435,1.9,31.7,0.0001809102960671675,0.0,0.92,11.461451612903225,2.3,31.4,0.005225806451612904,0.0,0.94,15.654349408894726,0.8,31.7,79.53704679376084,10.28,98.45,12.342678843226787,1.2,31.7,0.01228006088280061,0.0,1.0,2.1111111111111116,0.8,4.8,89.49781250000001,65.77,96.9,13.60997509339975,1.9,31.7,10.263022714688836,13.902036529680364,1.9,31.7,10.297342320533268,0.0023760896637608966,0.94,0.002487671232876712,0.92,3.876767676767677,2.1,7.6,1.2167042985320302,3.6644444444444444,2.3,8.1,1.1201168369393713,0.041919191919191925,0.88,0.10385185185185185,0.94
2,MEL5_DSE,examples/af3_fold_outputs/mel5_dse,0.74,0.72,0.69,0.76,0.65,0.78,0.72,0.65,0.75,0.66,0.86,0.02,81.21112956810632,15.321547132403143,11.808357729333752,0.8,31.7,80.47693858415377,16.55,98.1,12.205062492560408,1.4,31.7,0.0026475419592905604,0.0,1.0,18.475441035232272,1.7,31.7,0.0002885305565384421,0.0,0.98,14.87428044280443,1.7,31.6,0.004169741697416974,0.0,0.97,10.715220603537981,0.8,31.7,84.51047854785479,20.31,97.79,18.20403181617322,2.6,31.7,0.00010039770216526734,0.0,0.74,14.222725806451614,2.6,31.4,0.00422258064516129,0.0,0.82,15.084036029273785,0.8,31.7,79.08244020797228,11.69,98.31,13.960068493150684,1.4,31.7,0.012139726027397262,0.0,1.0,4.21,0.8,12.1,77.7132530120482,43.84,95.64,12.383188044831881,1.7,31.7,10.285632838451345,14.536447488584475,2.6,31.7,10.00335680557595,0.0023835616438356165,0.98,0.0016347031963470319,0.74,5.666363636363636,1.7,16.6,3.295886617443222,6.774,2.6,19.1,3.2540114730385734,0.051,0.96,0.0826,0.82
3,MEL5_ERBB2,examples/af3_fold_outputs/mel5_erbb2,0.73,0.7,0.68,0.75,0.6,0.78,0.72,0.62,0.8,0.66,0.89,0.02,80.27781919850885,15.702494704224367,12.431269999046856,0.8,31.7,78.2880121894046,17.43,97.0,12.604951791453399,1.4,31.7,0.0026244494703011544,0.0,1.0,19.3093772430875,2.7,31.7,0.00026184097457412935,0.0,0.95,13.864852398523986,3.1,31.6,0.004103321033210332,0.0,0.91,10.744190426638918,0.8,31.7,83.90453382838284,20.66,97.09,18.616847989394607,2.6,31.7,0.00022129916040653996,0.0,0.94,12.772564516129034,2.7,31.5,0.0059870967741935495,0.0,0.95,15.067545881028334,0.8,31.7,78.62562564991335,11.25,97.54,12.704849315068493,1.8,31.7,0.013312328767123289,0.0,1.0,2.8620000000000005,0.8,5.9,83.46159420289855,68.07,92.79,13.859302615193027,3.0,31.7,9.559978324554836,13.865899543378996,2.6,31.7,9.641019607731668,0.002784557907845579,0.95,0.002657534246575342,0.94,5.500454545454547,3.3,10.3,1.4434333352768425,4.967,2.7,9.8,1.2917730708861626,0.042272727272727274,0.91,0.11853333333333334,0.95
4,MEL5_IMP1,examples/af3_fold_outputs/mel5_imp1,0.73,0.71,0.69,0.76,0.63,0.83,0.73,0.63,0.82,0.66,0.93,0.02,81.94731460524564,15.4346913788274,11.854910744679405,0.8,31.7,80.85354430379746,16.16,98.03,12.206223663849542,1.4,31.7,0.0026100464230448756,0.0,1.0,18.921220239599656,1.9,31.7,0.00025729161401203055,0.0,0.96,12.789022140221402,2.1,31.6,0.004295202952029521,0.0,0.94,10.627303850156087,0.8,31.7,85.56644389438944,20.84,98.07,18.414467962881133,2.1,31.7,0.00018170570039770215,0.0,0.94,11.908225806451613,2.5,31.5,0.005751612903225807,0.0,0.93,15.186991180334019,0.8,31.7,79.54322357019065,10.64,98.52,11.845465753424659,1.2,31.7,0.013027397260273972,0.0,0.99,2.2460000000000004,0.8,4.9,89.1363768115942,68.15,96.37,13.182316313823165,2.4,31.7,10.028984079075585,13.552520547945207,2.1,31.7,10.033126344287973,0.0023561643835616443,0.93,0.002621004566210045,0.94,4.2704545454545455,2.4,7.8,1.1454216265111021,4.141666666666667,2.5,8.0,1.1135965257768283,0.04218181818181819,0.92,0.1138,0.93
5,MEL5_IMP2,examples/af3_fold_outputs/mel5_imp2,0.74,0.72,0.69,0.76,0.65,0.86,0.72,0.64,0.82,0.67,0.94,0.02,82.11205616183125,15.26779468146566,11.857550959273432,0.8,31.7,80.99409282700422,19.2,98.14,12.258526961076061,1.4,31.7,0.0025995714795857636,0.0,1.0,18.559784663600063,1.7,31.7,0.0002623464590810292,0.0,0.98,12.339188191881918,1.8,31.5,0.004025830258302583,0.0,0.95,10.696477627471383,0.8,31.7,85.2916089108911,20.76,97.9,18.194740167918688,2.1,31.7,0.0001511268228015908,0.0,0.94,11.599951612903226,2.4,31.4,0.004729032258064516,0.0,0.94,14.889684368549446,0.8,31.7,80.05523050259964,10.95,98.53,11.43978082191781,1.3,31.7,0.01328767123287671,0.0,0.99,2.0900000000000003,0.8,5.0,90.60263888888889,75.22,96.73,12.41494396014944,1.8,31.7,10.174786229206982,13.375479452054794,2.1,31.7,9.939615246786165,0.0025479452054794523,0.97,0.0022739726027397257,0.94,3.7186363636363633,2.1,8.3,1.123941099453758,4.083,2.4,8.4,1.1635624893690353,0.03763636363636364,0.93,0.09433333333333335,0.94
6,MEL5_MRP3,examples/af3_fold_outputs/mel5_mrp3,0.73,0.7,0.7,0.77,0.6,0.72,0.74,0.61,0.71,0.64,0.79,0.02,81.06360841208571,15.669697112270445,11.636958919404695,0.8,31.7,80.25939521800281,19.93,97.32,11.81326330198786,1.3,31.7,0.0026418283537674087,0.0,1.0,19.587544356265475,2.6,31.7,0.0002744780872466259,0.0,0.9,15.670959409594097,3.8,31.7,0.003977859778597786,0.0,0.82,10.117288241415192,0.8,31.7,85.3814315181518,22.46,97.8,18.91747989394609,2.5,31.7,0.00024180291648254532,0.0,0.93,14.648177419354838,3.8,31.5,0.005390322580645162,0.0,0.86,15.499449052355036,0.8,31.7,78.31191334488734,12.0,97.25,15.377,3.5,31.7,0.012673972602739728,0.0,0.89,3.833999999999999,0.8,11.2,69.62169014084508,50.76,80.12,14.522353673723536,3.2,31.7,9.454812749281759,14.569095890410956,2.5,31.7,9.618061595922077,0.002391033623910336,0.82,0.0029114155251141554,0.93,7.383181818181819,4.2,15.8,2.421558263079293,6.708333333333333,3.8,14.5,2.0607839662506002,0.04536363636363636,0.75,0.1046,0.86
7,MEL5_MUC-16TSS,examples/af3_fold_outputs/mel5_muc-16tss,0.73,0.71,0.7,0.77,0.62,0.79,0.73,0.62,0.79,0.66,0.88,0.02,81.67560436634717,15.357046882932721,11.658095614166475,0.8,31.7,80.44905297702766,21.09,97.55,11.890945125580288,1.3,31.7,0.002571598619211999,0.0,1.0,19.054184400748117,2.6,31.7,0.00023899307486225545,0.0,0.92,13.545147601476014,3.0,31.6,0.004284132841328413,0.0,0.84,10.249335067637878,0.8,31.7,85.39085808580859,25.7,97.74,18.430347326557666,2.2,31.7,0.00019575784357048166,0.0,0.94,12.65690322580645,2.9,31.4,0.005706451612903226,0.0,0.89,15.076326515293676,0.8,31.7,79.44898440207973,10.81,98.02,13.051369863013699,1.6,31.7,0.012800000000000002,0.0,0.97,3.1510000000000007,0.8,6.9,82.16500000000002,56.44,92.28,13.43107098381071,2.6,31.7,9.786536344519833,13.465296803652969,2.2,31.7,9.886627898999611,0.002418430884184309,0.9,0.0027817351598173517,0.94,5.25590909090909,3.4,10.3,1.3931689158530538,4.945,2.9,12.8,1.477139690979383,0.04518181818181819,0.84,0.11279999999999998,0.89
8,MEL5_MelanA,examples/af3_fold_outputs/mel5_melana,0.75,0.73,0.69,0.76,0.67,0.88,0.72,0.68,0.86,0.66,0.94,0.02,82.02165556739477,15.194365907459604,11.971928486812544,0.8,31.7,80.6364791373652,16.35,98.14,12.291784906558743,1.3,31.7,0.0025880252350910606,0.0,1.0,18.406493453975635,1.5,31.7,0.00027023201738866714,0.0,0.99,12.032250922509224,1.8,31.6,0.003771217712177122,0.0,0.98,10.696284079084288,0.8,31.7,85.43657590759076,21.05,97.9,17.876387096774195,1.5,31.7,0.0001866548828988069,0.0,0.98,11.125935483870968,1.9,31.5,0.005993548387096774,0.0,0.97,15.082130981422408,0.8,31.7,79.9494280762565,11.53,98.52,11.475397260273972,1.2,31.7,0.013443835616438356,0.0,0.99,2.0309999999999997,0.8,5.6,91.94878787878788,75.8,96.51,12.120286425902863,1.6,31.7,10.480532895849041,12.567105022831049,1.5,31.7,10.42708762198925,0.0025155666251556667,0.98,0.002867579908675799,0.98,3.3609090909090904,1.9,7.9,1.0515006985296131,3.3186666666666667,1.9,8.8,1.0395759819379353,0.03436363636363637,0.95,0.11946666666666668,0.97
9,MEL8_BST2-10,examples/af3_fold_outputs/mel8_bst2-10,0.72,0.7,0.68,0.75,0.62,0.85,0.73,0.61,0.78,0.66,0.94,0.02,80.37486295902075,15.695073834491692,12.387165849855203,0.8,31.7,78.19267485822307,17.78,97.14,12.60565781317057,1.4,31.7,0.0025996614372228314,0.0,1.0,19.218355142097728,1.7,31.7,0.00022561848292782657,0.0,0.96,13.223805970149254,1.9,31.6,0.002738805970149254,0.0,0.92,10.767743878165543,0.8,31.7,83.88009414654113,21.11,97.55,18.774117466847564,2.6,31.7,0.00013917458094446147,0.0,0.88,12.368642172523963,2.8,31.6,0.00473482428115016,0.0,0.83,15.013788703321447,0.8,31.7,78.8545095320624,11.17,97.96,11.855972602739726,1.3,31.7,0.012167123287671232,0.0,1.0,2.211,0.8,4.3,86.49222222222222,67.37,94.72,15.561267123287674,2.9,31.7,9.498178435883274,15.391720890410959,2.6,31.7,9.665176552549925,0.00013356164383561644,0.24,0.0020650684931506845,0.88,6.1975,3.0,14.3,2.4084733234976885,5.605312499999999,2.8,15.6,2.1104953274868317,0.014000000000000002,0.68,0.085125,0.83
